Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
6872def5-772f-427c-3053-de6e1c71ce0a,1955-09-01,1981-05-22,999-96-6821,S99991927,X56583695X,Mr.,Alfred550,Andres25,West559,,,,white,nonhispanic,M,Alexandra (Vic.)  Victoria  AU,1037 Stehr Park,Portland (Vic.),Victoria,Glenelg (S),,3305,-38.38492469751647,141.5763645773561,140048.18,0.00,46057
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1994-09-28,,999-53-6488,S99937657,X86392542X,Mr.,Luther918,Monroe732,MacGyver246,,,M,white,nonhispanic,M,Brunswick (Vic.)  Victoria  AU,250 Morar Fork Apt 66,Pakenham,Victoria,Cardinia (S),,3810,-38.11619969761582,145.4594213983565,25756.42,89095.18,41800
59844213-b884-17cb-59e9-c07a73a06f41,1977-06-05,,999-75-8169,S99939237,X54518212X,Mr.,Frederick289,Galen747,Breitenberg711,,,D,asian,nonhispanic,M,Templestowe  Victoria  AU,227 Stiedemann Union Suite 28,Albanvale,Victoria,Brimbank (C),,3021,-37.71886930707667,144.78992425524416,292800.39,763077.89,49818
28d7b56c-6056-d0a2-2991-39d6e917216c,1995-07-07,,999-31-6091,S99995903,X52022464X,Mrs.,Angela104,Bella510,Jacobi462,,Funk324,M,white,nonhispanic,F,Greensborough  Victoria  AU,677 Bosco Extension,Eaglemont,Victoria,Banyule (C),,3084,-37.74427528480498,145.09123716937748,26321.01,270622.12,67198
9df4460a-2f66-2d07-de9e-0afaf84bb157,1973-05-22,,999-18-7495,S99978739,X75187096X,Mr.,Keven605,Jeff859,Daugherty69,,,M,white,nonhispanic,M,Mount Macedon  Victoria  AU,1041 Schuppe Vale,Essendon West,Victoria,Moonee Valley (C),,3040,-37.76096725476656,144.93257699493253,88786.33,65985.12,3229
6c434506-fb4b-3e3f-c19d-553dec3b6c17,1990-03-30,,999-44-3322,S99929967,X54562185X,Mr.,Rickie717,,Walsh511,,,M,native,nonhispanic,M,Hillside (Melton - Vic.)  Victoria  AU,625 Doyle Row,Mornington (Vic.),Victoria,Mornington Peninsula (S),,3931,-38.18563899903446,145.10420653996354,60674.82,827357.32,35548
4113255f-4e35-506a-ddef-4429caa17ffc,1982-01-15,,999-88-1434,S99998528,X56588154X,Ms.,Rasheeda241,Mirian768,Heaney114,,,S,white,nonhispanic,F,Hamilton (Vic.)  Victoria  AU,946 Carroll Arcade Suite 20,Reservoir (Vic.),Victoria,Darebin (C),,3073,-37.682633089025835,144.9800826126205,233997.85,929705.65,45680
abc59f62-dc5a-5095-1141-80b4ee8be73b,1997-01-13,,999-37-1058,S99986000,X34264586X,Mrs.,Jacque955,Jin479,Howe413,,Will178,M,white,nonhispanic,F,Malvern East  Victoria  AU,492 Keebler Estate,Morwell,Victoria,Latrobe (C),,3840,-38.2672436580452,146.428685266742,9180.38,543415.14,41915
92675303-ca5b-136a-169b-e764c5753f06,1998-12-08,,999-62-9859,S99967639,X9280991X,Mr.,Devon268,Sam879,Olson653,,,,asian,nonhispanic,M,Springvale (Vic.)  Victoria  AU,386 Altenwerth Orchard Apt 67,Carlton (Vic.),Victoria,Melbourne (C),,3053,-37.832725306126555,144.92142321566925,3748.00,1050018.59,29138
239ae86a-96db-6211-9042-d3f2850aabb8,1971-01-17,,999-74-7366,S99999468,X51390829X,Mr.,Darrell400,Harry448,Muller251,,,M,white,nonhispanic,M,Parkville (Vic.)  Victoria  AU,541 Stracke Plaza,Warrnambool,Victoria,Warrnambool (C),,3280,-38.32437323962739,142.45267077113104,96430.32,108727.28,3928
f1c7634c-43a0-e0c8-e5ac-f8fed1b156f6,1955-09-01,,999-20-8996,S99960895,X36425222X,Mr.,Jordan900,Len277,Glover433,,,M,white,nonhispanic,M,Kingsbury  Victoria  AU,103 Wolff Brook,Portland (Vic.),Victoria,Glenelg (S),,3305,-38.382571676791876,141.63629828902768,92481.94,232465.47,46057
